,0,1
0,سحر جان خیلی زود از این تخمک ناقص بکش بیرون حیفی تو,"""غیرتنفر"""
1,زنگ بزن به مهدی طارمی,"""غیرتنفر"""
2,رابطه داری با تتلو قریشی جواب بدی,"""غیرتنفر"""
3,زنده باد نوید کور بشه چشم حسود بره بمبره هر کی نوید و دوس ندارهبژی کرد,"""غیرتنفر"""
4,معموله این مدل عکس گرفتن,"""غیرتنفر"""
5,سحر شنیدم میپری هوا  میزنی میشنی روش بعدش میکنی نوش بخور به تو میرسه,"""تنفر"""
6,پس این یارانه رو کی میریزن میخوام لباس عید بگیرم,"""غیرتنفر"""
7,تتلو بعد کات کردن آمار نقطه به نقطه بدنتو با گوگل مپ میزاره,"""تنفر"""
8,هر روز روزه زنه که ده بار تو سال روز زنه,"""تنفر"""
9,بچه‌های که زیره کرکره گیر کردن بیان بالا,"""غیرتنفر"""
10,اون چندتا زنیکه زندگی شون با تجاوز بهشون ساخای هم میاوردی,"""تنفر"""
11,از نچرال بودنت خوشم میاد,"""غیرتنفر"""
12,دست ما کوتاه و خرما بر نخیل,"""غیرتنفر"""
13,حیف شدی رفت با دفتر نقاشیه خدیجه‌ی  ساله از نا کجا آباد خودتو حیف کردی زیبا,"""تنفر"""
14,یه پورن باتتل باری کنید,"""تنفر"""
15,مگه داریم خوشگل‌تر از سمیرا,"""غیرتنفر"""
16,توام ک روانی شدی رفت,"""تنفر"""
17,مردم به خاطر فالور با چه کسا که رل نمیزنن و چه گهی که نمیخورن,"""تنفر"""
18,توفقط بتمرگ سرجات لازم نکرده سفر علمی بری,"""تنفر"""
19,زیباترین‌ها و دوست داشتنی ترینی‌ها,"""غیرتنفر"""
20,چه کوچولو موچولو و نازه,"""غیرتنفر"""
21,پر رو شما آخوندهای مفت خورین نه ما قشر فرهنگی,"""تنفر"""
22,واقعا سطحت با تتلو در یه حدبه هم میاییدریدم تودمملکتی که تو تتلو هنرمنداش باشید,"""تنفر"""
23,پایدار باشید تا ابدچه حس خوبیه عشقت توخواب عکس بگیره ازت,"""غیرتنفر"""
24,اسطوره تکرار نشدنی نوید محمد زاده عاشقتم لعنتی,"""غیرتنفر"""
25,روزی را آرزومندم بدون کوچکترین ردی از این مغز پوکیده‌ها عقب مانده,"""تنفر"""
26,واقعا به آدمش بستگی داره,"""غیرتنفر"""
27,حداقل پست رهبر رو حذف کن,"""غیرتنفر"""
28,من آیه الکرسی نذر کردم  شب بخونم بیاین باهم بخونیم که حاجت روا بشیم,"""غیرتنفر"""
29,سحر راسته تو مالک روبسها هستی,"""غیرتنفر"""
30,خدایی افغانهای زیادی تو ایران پیشرفت کردن ازجمله سحر خانوم قریشی و همسر نوید محمدزاده موفق باشید,"""غیرتنفر"""
31,ای خدا دست گربه رو چی شده,"""غیرتنفر"""
32,سینا دمت گرم هیچکی نمیتونه مثه تو این نفهمارو ادب کنه,"""تنفر"""
33,فک کنم تا الان تتل هزار بار گذاشته کونت دیگه خوشبخت واقعی شدی هرزه,"""تنفر"""
34,افرین سینا هر چی این اسگولا رو مسخره کنیم بازم کمه,"""تنفر"""
35,عروسیت مبارک با امیر تتلو,"""غیرتنفر"""
36,یعنی بین این همه کامنت یه دوست پسر به ما نمیرسه شوهر نمیخوایم بابا,"""غیرتنفر"""
37,ای سحر قریشی د گیج زغالیا حونه تتلو چی میها بیا خرم اباد تا یه گونی زغال بلیبلوطدرجه یک بیم وت خوارم,"""تنفر"""
38,فک کنم زیبایی اگ تصویر بود شما زیباترین تصوری یا قاب جهان میشیدید,"""غیرتنفر"""
39,مبارکه تتلو هم ب تیغ بعدی داریوش هس,"""تنفر"""
40,عشقتون پایدار حال دلتون خوش,"""غیرتنفر"""
41,مرده شورتو ببرن معلوم نیست اخرش چکار میکنه با خودشو فرهنگ جامعه تو مثلا شدی الگو مردم ایران بعد ریدی به خودت یه بار با ژارمی یه بار با تتلو معلوم نیست دیگه میخوای چکار کنی حیف ما که این همه سال تو رو کردیم اگلو چچ,"""تنفر"""
42,این چه عکسیه کو نوید,"""تنفر"""
43,موندم که کدوم زنی رویش میشه بگه این الاغ شوهرم است و کدام بچه میگه این الاغ پدرم است ولی احتمالا مادر خودش با نیم گیگ باردار شده که این آدم ناقص الخلقه و الاغ به دنیا آمده,"""تنفر"""
44,تتلو دهن گاییده کم مونده مارو بکنه,"""تنفر"""
45,میلیونی شدن مبارک ملکه پادشاه امیر,"""غیرتنفر"""
46,ایا شما با تتلو رابطه دلرید,"""غیرتنفر"""
47,ولی شما خیلی به هم میاین,"""غیرتنفر"""
48,مثل بز به دوربین نگاه میکنی که چی فوقش نفت دربیاد,"""تنفر"""
49,بازم روز زن چقد داریم روز زن,"""تنفر"""
50,هواست باشه سحر خانوم تتلو بیشتر از عقب دوس داره اهنگاشوخوب گوش کن چی میگه,"""تنفر"""
51,من براش مهدی طارمی بودم ولی اون تتلو دوست داشت,"""غیرتنفر"""
52,سینا دلقک عامل استخبارات عربستان,"""تنفر"""
53,فقط مواظب باش برات اهنگ نخونه مثل ننش,"""تنفر"""
54,همه کردنش طارمی و تتلو هم روش,"""تنفر"""
55,یدونه ادم معروف زیر پستات کامنت نمیذاره التماس تفکر,"""غیرتنفر"""
56,اردو جهادی میرن توش بکن یکن در میاد وای به حال سفر علمی,"""تنفر"""
57,یعنی عیدی به ما یه شوهر نمیرسه,"""غیرتنفر"""
58,به هم میاین عشقتون جاوید,"""غیرتنفر"""
59,مبارک باشه لایک کنین کامنت رو,"""غیرتنفر"""
60,آخه سگ با تتلو دوست میشه که تومیخوای ازدواج بکنی باهاش,"""تنفر"""
61,برو دنبال کارت شو درباره همه چیز نظر نده,"""تنفر"""
62,فقط مونده بود زیر امیر تتلو بخوابه ک خداروشکر خوابید,"""تنفر"""
63,تتل ناراحت نشه یه وقت,"""غیرتنفر"""
64,حالا که کامنتاشو باز گذاشته شما هم شخصیت داشته باشید اینقدر مزخرف ننویسد تو پیجیش هر کی رو با اعمال خودش میسنجند جای کسی هم قضاوت نکنید,"""غیرتنفر"""
65,این چرا اینجوری کرده بوس میخواد,"""تنفر"""
66,آقا تو که از خدا پیغمبر بالا‌تر نیستی چرا به شعور زنان ما توهین میکنید آزادی این هست که بیا بغل تو یا با تو برقصند چرا تو مغز زنان و خواهران ما رژه میری تو که وکیل وصی اونا نیستی بذارید خودشون به اعتقادی که دارن پای بند باشند قول شان نزنید تو که فقط وراج ای میکنی,"""تنفر"""
67, عالیه جملش آشنا نیست,"""غیرتنفر"""
68,ریدن تو اموزش پرورش کلا اخوندا انجارو هم گرفتن,"""تنفر"""
69,سحر قریشی واقعا میخا با امیر تتلو ازدواج کنی,"""غیرتنفر"""
70,راستی شکایتت از تتلو ب کجا رسیده شنیدم گفتی کاشکی میتونستم ازش شکایت کنم حالا تو بغلشی,"""غیرتنفر"""
71,خاک برسرتآبرو شرف چندین ساله خودت رابردیطرف میره پیشرفت میکنهچارتا بازیگر خارجی میبینهباچارتا بازیگر سینمایی هالیوود دیدارمیکنهتوهم رفتی باامیرتتلوهرچی اون بازیگرای قبلی که رفتن پیش تتلو خوشبخت شدن توهم بعدیشونیمحمدرضا گلزار یه بازیگرهمریم امیرجلالی یه بازیگرهاکبرعبدی یه بازیگره رامبدجوان یه بازیگرهاثلا ایناشخصیت وشانشون اجازه نمیده که با آدمای مزخرفی مثل امیرتتلو دیدار کننشان وشخصیت وآبروی خودتا خراب نکنتتلو آدمی نیست که یه زره انسانیت ودرستی توکارش باشهپنج ساله ترکیه هست هیچ کشوری قبولش نکردهبنظرت چرا,"""تنفر"""
72,رفیقت تتلو چی شد یه دس دادی تموم,"""تنفر"""
73,تتلو دوست داره گول بخوره ازت حواست باشه فقط نمک گیر نشی,"""غیرتنفر"""
74,وبنظر پول تو پیج یوتیوب هست که تلاش خودت میکنی براش اینستا دیگه کهنه شد,"""غیرتنفر"""
75,بمونید برای همچقد لحظات عاشقانه تان دیدنی و لذت بخشه,"""غیرتنفر"""
76,ای بمیرم از مادرش جداش کردن اعتصاب کردهبا این مدلی که خوابیده حداکثر  ساعت دیگه غذا می‌خوره فقط باید پنتوپرازولشو بزنین یک دهم سیسی  ساعت,"""غیرتنفر"""
77,عاشق جفت تون ام عشقین چشم بخیل کور,"""غیرتنفر"""
78,چقد خنده داره این بشر,"""غیرتنفر"""
79,شما انگشت کوچیکه یه معلم هم نمیشی پس لطفا ببند,"""تنفر"""
80,و خار مادر دروغگوها هم تو هستی,"""تنفر"""
81,مگه داریم قشنگ‌تر از اسم سمیرا,"""غیرتنفر"""
82,مرد اونکه عشقشو جار بزنه بمونید برای هم,"""غیرتنفر"""
83,حیوان پلیدقطعا اجنبی و ترک هست,"""تنفر"""
84,سلطان مونو با خودت نبر,"""غیرتنفر"""
85,خوش بحالتون هر روز کیس‌های جدید رو تجربه میکنید حال میکنیدا,"""غیرتنفر"""
86,اخی آنژیوکت تو دستشه بچه‌ها گربه‌ها خیلی حساسن منم دارم ,"""غیرتنفر"""
87,زنان را را در خیابان‌های پور از گیل و لای انداختن و این یک تحقیر است,"""تنفر"""
88,میشه یک عکس از زبونت بزاری الان شبیه رنگی کمان شده فکر کنم,"""تنفر"""
89,دمت گرم پستت عالیه خاک بر سر نفهمی مثل این که فکر می‌کنه همه مثل خودش و آخوندهای اشغالی گاو و خرند خدا نابودشان کنه ایشالله,"""تنفر"""
90,پیر شین به پای هم,"""غیرتنفر"""
91,چقدر حس و حال این عکسو دوست داشتم عشقتون پایدار,"""غیرتنفر"""
92,سحر قریشی یا امیر تتلو,"""غیرتنفر"""
93,تنها کاپل دوست داشتنی سینمای ایران,"""غیرتنفر"""
94,راست مگن زید تتلو رفتی,"""غیرتنفر"""
95,ای مردماحمقاز وقتی خبرش با تتلو در اومده فالورش از  میلیون شده  میلیون عجب مردم احمقی هستین,"""تنفر"""
96,آزادی نمیخوایم همینکه سرمونو با داس نبرن کافیه,"""تنفر"""
97,کل قشنگیای دنیارو تو خودتون دارین,"""غیرتنفر"""
98,واقعا یدونه‌ای تنها کسی که ازته دل میرین به این اخوندا تویی,"""تنفر"""
99,چقدر دوست دارین چرت پرت بگین شایعه زیاده سرتون تو زندگی خودتون باشه گند نزدین همین حرفای شماهاست که نمیشه دهنتون رو بست دیگه هیچی نمیگه برای اینکه سریع منتظر هستین شایعه دیگه‌ای درست کنین آرامش رو ازشون گرفتین هر کاری میکنن زندگی خودشونه به ما‌ها ربطی نداره حال آدما به هم میزنین بازیگری چیه دیگه,"""غیرتنفر"""
100,راست میگن شودی حاج خانوم تتلو من که باور نمیکنم,"""غیرتنفر"""
101,خیلی خیلی خیلی پر رو تشریف دارن,"""تنفر"""
102,تتلو چطور میزنهنفت در نیومده هنو,"""تنفر"""
103,ول این بنده خدا کنین ایشون فرشته هستن اصلا هم به تتلو نمیاد,"""غیرتنفر"""
104,عالی گفتی برای مفت خورا,"""تنفر"""
105,خداییش چندش نمیشه رفتی پیشش تتلو,"""تنفر"""
106,این چه مصیبتی گرفتار ابن بیپدرومادرا شدیم به قول مالهکش نظام شایدم ما خودمون خواستیم جوری دیگه زندگی کنن مارو,"""تنفر"""
107,خونه خوبه خونه نویدت امیده خونه خوبه بویه نویدت امیده,"""غیرتنفر"""
108,سحر قریشی هم تتلو رو بر دستانش گرفت,"""غیرتنفر"""
109,بی مهارت ماست خوری بردنتون,"""تنفر"""
110,ادم باید بی قیمت باشه قیمت یعنی نفرت,"""غیرتنفر"""
111, بیا پایین بیا پایین,"""غیرتنفر"""
112,به خدا اینا همه بازی و فیلمه فقط میخوان با بالا بردن فالو هاشون پول به جیب بزننملت خر نشین الکی هر آشغالی رو فالو نکنیداگه بعد یه مدت برنگشت به من فحش بدید,"""تنفر"""
113,تو که میگفتی در مرام من نیست و اینا چه زود خراب شدی,"""تنفر"""
114,رفتی لاک میزنی به تتل,"""غیرتنفر"""
115,خوش بکنی دادامنظورم زندگی بود از بس که منحرفین,"""تنفر"""
116,یکدونه از این عشقها لطفا خداجون,"""غیرتنفر"""
117,خانم حسینی کوردی یادگرفتی از همسرتون,"""غیرتنفر"""
118,تو هم تو نوبتی دلقکوطفروش,"""تنفر"""
119,سحر ناز شنیدم رفتی چرا اخه,"""غیرتنفر"""
120,جدی جدی با تتلو تیک زدی‌ها,"""غیرتنفر"""
121,امیدوارم همیشه موفق وسربلند باشی,"""غیرتنفر"""
122,بی نظیری یه مشت احمق سرجاشون میشونی,"""تنفر"""
123,ای خدا بچم چقدرخسته اس,"""غیرتنفر"""
124,یه چیزی زده ساقیش خوب بوده,"""تنفر"""
125,ب پستات نمیخوره ادم حقیری باشی ک با نجاستی مث تتلو حتی کوچکترین ارتباطی داشته باشی,"""تنفر"""
126,من موندم با  م فالور تو جریان چیه,"""غیرتنفر"""
127,خانم فرشته حسینی به شما پیشنهاد میکنم اگر به چشم بد اعتقاد دارین خودتان را به اسپند دود کن برقی مجهز کنید من دارم راضیام با این استیکرا حل نمیشه,"""غیرتنفر"""
128,ایکاش صحبت و ادب را هم به شما می‌آموختند,"""تنفر"""
129,واقعا اگه رفتی با تتلو متاسفم برات دختر,"""تنفر"""
130,ادم قط بود اخه تتلو هرچن خودتم عددی نیستی,"""تنفر"""
131,تنها کسی که شبا زبونش رنگی میشه,"""تنفر"""
132,حاج خونم تتلو بدبخت شدنت مبارکت,"""تنفر"""
133,انشاالله هر که هرجوره خدا سر راهش مثل خودش قرار بدهبه نظرم بهترین دعاست,"""غیرتنفر"""
134,بمانید برای هم تا ابد دنیاخوشسلامتسعادتمند,"""غیرتنفر"""
135,چشاش داره میگه از پیش سلطان اومدم,"""غیرتنفر"""
136,دنیا سگ تو شرف داره به این عوضیا,"""تنفر"""
137,فک کردم ته گربه سرشه,"""غیرتنفر"""
138,الحق که سکینه به قیافه‌ی این عکست میاد,"""تنفر"""
139,دوستم این کامنتا چجوری ابیی هستن برای من سفیدعع کامنتمم,"""غیرتنفر"""
140,یه جوری قضاوت می‌کنید انگار خودتون پیامبر اولول عرضید باو بسه ناموسا این عقده بازیاتون کی تموم میشع فقط کافیه یه چیز بفهمید حاشیه و قضاوت و پروند واسه طرف صادر میکنید همه شدن جدیدا خدا کی می‌خواید بفهمید زندگی هر کس به خودش مربوطع دخالت نکنید ازش بدتون میاد دنبالش نکنید مجبور نیستین این کامنتا چرت و پرت رو مزارید جدیدا همه جا خدا تصمیم میگرن,"""غیرتنفر"""
141,برو تتلو رو ستایش کن بخاطر اون فالوت کردم فق,"""تنفر"""
142,تو دیگه مهره سوخته شدی تو ایران انشالا دیگه نذارن کار کنی,"""تنفر"""
143,سجاد قریبی شایعه نیست از زبان خودش,"""غیرتنفر"""
144,بیشعور چرا به زری خیانت کردی ازت متنفرم زندگی خراب کن,"""تنفر"""
145,ماشاله نوید بهت ساخته تپل شدی,"""غیرتنفر"""
146,ای برار اینا کونشونم بازه چی برسه زیپشون,"""تنفر"""
147,برازنده ملیونها ساعت خوشبختی هستید حسود هم هرگز نیاسود,"""غیرتنفر"""
148,یه عکس از زبونت بده ببینم پیششی هرکی فهمید لایک کنه,"""تنفر"""
149,اقا واقعا تو با تتلو هستی,"""غیرتنفر"""
150,آزادی چی رو ندارنهرزگی که به لطف جریان کثیف فمنیست با شبکه‌های فمنیستی من و تو اینترنشنال و مهره هاشون و سریالای جم و اپلیکیشن‌های اجتماعی موبایل خانواده و زن و دختر و مردم رو به لجن کشیدین و زن رو از زنانگی خارج کردین و مرد رو از مردانگی,"""تنفر"""
151,روز فرشته روی زمین مبارک,"""غیرتنفر"""
152,تو فقط روزی سه بار سفر علمی میری فضا,"""تنفر"""
153,دلم یه عالمه پول میخواد,"""غیرتنفر"""
154,به کارت احترام میزارم ولی اگه فردا ورق برگشت چکار میکنی,"""غیرتنفر"""
155,سحر جون هر کاری دلت میگه انجام بده بی خیال حرف و قضاوت مردم,"""غیرتنفر"""
156,راستی از اون داداش غیرتیت چه خبر جنگ سوریه رو تموم کرد مهدی طارمی دزد بیت المال بود درسته حالا امیر تتلو آیت الله شده فقط کاش میدونستیم تو سر شما احمق‌ها چی میگذره طارمی دزد بود تتلو شده حجت خدا در روی زمین آره جنبه نداشتی البته کرم تو وجودته دست خودت نیست سال دیگه میبینیم مث سگ به گوه خوردن بیفتی البته اگه تا اون موقع زنده بمونی و با تتلو سنکوپ نکنید,"""تنفر"""
157,این خوب میکوبه یا طارمی,"""تنفر"""
158,مردم هزار چهره یه جاهایی یه چیز دیگه کامنت میزارین,"""تنفر"""
159,از وقتی رفتی پیش تتل گنگ‌تر شدیا,"""غیرتنفر"""
160,عشقتون تا ابد یک روز پایدار دختر وطنم,"""غیرتنفر"""
161,ای ننه دست پیشی تو گچه انگار چقد ناز خوابیده,"""غیرتنفر"""
162,گربه ما هم همین شکلی میخوابه,"""غیرتنفر"""
163,جواد شدی رفتی پی کارت تا قبل نوید چقدر خوشتیپ بودی,"""غیرتنفر"""
164,کیا اومدن ببینن درباره تتلو چیگفتن,"""غیرتنفر"""
165,نیای ایران از همون ور برو ولایتت افغانستان برادران طالبانیت منتظرتن,"""تنفر"""
166,خدا لعنت کنه هرکسی رو که تلگرام رو فیلتر کرد,"""تنفر"""
167,واقعا خاک بر سرتون که اینارو فالو میکنید و اسکلتون میکنن فقط بخاطر پول خاک,"""تنفر"""
168,واسه همین خودتم اواخواهر و مفعول شدی,"""تنفر"""
169,حرومزاده‌ها یه جوری دروغ میگن پشمای همه میریزه,"""تنفر"""
170,تتلو و سحر و طارمی چخبره,"""غیرتنفر"""
171,دختر قریشی قل میخوری اینو میخوری یا اینو میخوری قل میخوری,"""تنفر"""
172,وای وای وای دو تا جیگر,"""غیرتنفر"""
173,سحر قریشی عالی هستی شما,"""غیرتنفر"""
174,خدا وکیلی دنیا جهانبخت بفهمه میدونی چیکارت میکنه,"""غیرتنفر"""
175,بانوی زیبا خوشبخت باشین کنار هم,"""غیرتنفر"""
176,خدایا بسه دیگ ما از این آخوند‌ها و انگلیسی‌ها نجات بده زندگی نزاشتن کنیم,"""تنفر"""
177,سرنوشت فقط میتونه دست خود آدم باشه مثل تو تتلو,"""غیرتنفر"""
178,یکم چاق شدی صورتت بانمکترشده دخترجان,"""غیرتنفر"""
179,خنده دارین واقعاپول انقدرام ارزش نداره که دارین به این راحتی شرف و عزت واسش میدین والا که عزت و شرف گرون‌ترین دارایی یک انسان البته فک نکنم شما این چیزا رو بفهمید خانم نادان,"""تنفر"""
180,خاک برسراین ملت که میزارن اینا براشون تصمیم بگیرن,"""تنفر"""
181,ای خدا کی ما از دست اینا راحت میشیم,"""تنفر"""
182,به نظرم با این سیستم روسری که خودتو دار زدی و ژست بی ربط دقیقا فقط شبیه احمق هایی حتی اگه این روسری هم نمیذاشتی باز این حالت چون متداول نیست و یا حداقل اینکه ما متوجه صمیمیت نمیشیم که مثلا با یه خانم ممکن بود ادم بخواد این عکسو بگیره حتی اگه با یک خانم بود خیلی احمقانه بود اما حالا که خانم و اقا هستند احمقانه‌تر هم هست به هر حال هر چقدر تو معیوب باشی باز این حالت یه نمایش رمانتیکه که اصلا در نیومده بیش از هر چیزی در نیومده,"""تنفر"""
183,خدا کنه جمشید نفهمه که با نیسان صافت میکنه ساغول فارس,"""غیرتنفر"""
184,از این انقدر میترسی سرتو توی برنامه هات بالا نمیاری مجبوری زیر زیرکی زنا رو دید بزنی,"""تنفر"""
185,هرکی میگه سحر عاشق تتلو عه دلش میخواد بره پیشش لایک کنه,"""غیرتنفر"""
186,از این خوشم میاد که شعار الکی نمیدی همینکه کامنت پیج بازه یعنی راست میگی حرف مردم برات اهمیتی نداره این آفرین دارد,"""غیرتنفر"""
187,حجی بحث اول انسانیت طرف رل زده زنش شده اخه ب شما چه این ملت همه رو گاییدن بسه دیگه مگ اینا حق ندارن از بس ک این ملت هیچ بدم میاد از همه,"""تنفر"""
188,سلام لطفا به پیام مهمی که بصورت دایرکت براتون ارسال کردم عنایت فرمایید,"""غیرتنفر"""
189,جمشید قاسم پور کجایی داداش,"""غیرتنفر"""
190,راست میگه ما خویبیم ما اون بالا اونا اون پایین ارواح عمش,"""تنفر"""
191,این کیه چقدر شبیه حمید هیراد,"""غیرتنفر"""
192,دور تتلو خط بکش با رژلب و خط چشم,"""غیرتنفر"""
193,اون هزار تا که احمق‌های هستن این لایک کردن و فالو,"""تنفر"""
194,این تیغ و محکم‌تر بزن,"""غیرتنفر"""
195,یک اینکه پولایه جمشید رو ببر بهش بده دوم اینکه سمت تتلو نرو آدم درستی نیست,"""تنفر"""
196,ما نبودیم مردها ول معطل,"""تنفر"""
197,بابا خوانندش کیه نموده شدم پیدا نمیکنم,"""غیرتنفر"""
198,شما واقعا خجالت نمیکشی از این همه اراجیفی که سر هم میکنی,"""تنفر"""
199,اگه واقعا با تتلو نیستی چرا میزای پشت سرت حرف حدیث باشه یه چیزی بزار که با تتلو نیستی,"""غیرتنفر"""
200,چقدرم ب هم میاد ناموسن خورشیدمن چشای توسحر,"""غیرتنفر"""
201,لعنت بر پدرت برای افکار پلیدت,"""تنفر"""
202,عشقم,"""غیرتنفر"""
203,ریدم به شاشیدم به انتخابت آدم روش نمیشه قیافه تتلو ببینه این عاشق اون شدهفقط منتظرم تولتو ببینم,"""تنفر"""
204,اره تو باس از زمین و زمان طلبکار باشی که دس به سیاه و سفید نمیزنی فقط بابت زر مفت و بی اساس و بی پایه پول مفت به جیب میزنیتو باید طلبکار باشی که از دسترنج ملت میخوری نه اون معلمی که وقت و اعصاب روان و جوانیشو میذاره برا تعلیم و تربیت بچه‌های امثال شماها که بعد بیای چرت و پرت بگی خجالت بکش,"""تنفر"""
205,میدونم همش دروغه سحر خانم خیلی خانمه به این بد ریخت و آب رنگی اصلا نمیاد,"""غیرتنفر"""
206,سلام خانوم قریشی عزیزم خیلی دوستون دارم میشه به این شایعات پاسخ بدین اخه باخطره شما من خیلی ناراحتم,"""غیرتنفر"""
207,آدرس اینو یکی بده بریم آویزونش کنیم یا نه لااقل شلوارش رو در بیاریم لخت لخت ولش کنیم تو خیابون,"""تنفر"""
208,ورژن  ریحانه پارسا هم اومد بیرون,"""تنفر"""
209,چه طوری سکینه خوش میگذره کنار نوید دو,"""تنفر"""
210,تتلو توهمی عمرا سحر بهش محل بزاره,"""تنفر"""
211,سیناتوبااین حرفات وکنایه زدنت به آخونداانگارکه ناموسشون روجلوشون گائیدی,"""تنفر"""
212,دمت گرم که تو یکی دهن اینارو صاف کردی,"""تنفر"""
213,شماهایی ک میایید کامنت فحش و بدوبیراه میزارین بخدا کار سختی نیست وقتی از کسی خوشت نمیاد خبرها شو پیگیر نکن پیج شو فالو نکن دنبالش نباش بخدا کار سختی نیست زندگی هر کس ب خودش ربط داره بنده نه از سحر قریشی خوشم میاد ن از تتلو و فحش و بدوبیراه هم نمیگم بهشون چون ب خودشون مربوطه کسی ب شما میگه ک با کی بری با کی نری با کی باشی یا نباشی ب شماها چ ربطی داره بخدا اگر زندگی خود تون رو شخم بزنن خیلی کثیف‌تر از این خان و آقا هستین,"""غیرتنفر"""
214,با اینکه پرحاشیه هستید ولی چقدر طرفدار داریدموفق باشید,"""غیرتنفر"""
215,حاج خانوم از تهه دل ب تتلو بدی,"""تنفر"""
216,تتلو بی آبروعه پس فردا تا رنگ سولاختو استوری میکنه,"""تنفر"""
217,زیبایی در یک قابپایدار بمونید,"""غیرتنفر"""
218,بدبخت خیال میکنه تتلو مالیه خ,"""تنفر"""
